PrimarySatellite,SecondarySatellite,TCA_EpDay,TCA_UTCG,Range,RangeX,RangeY,RangeZ,Velocity,VelocityX,VelocityY,VelocityZ,Latitude,Longitude,Altitude,PrimaryAge,SecondaryAge,PrimaryCluster,SecondaryCluster,DateGenerated
21090--SL-8 R/B,15398--COSMOS 1610,0.0101148611111,2018-07-12 00:14:33.924000,2.42507133014,-2.41480714503,0.0396230436143,-0.219334044296,14.4818832627,0.000108653291636,14.2502270097,2.57991724577,-46.4985004233,7.32388282166,990.566196332,2018-07-11 19:14:05,2018-07-11 06:11:17,975,975,2018-07-13 00:00:00,
37214--FENGYUN 3B,28353--SL-16 R/B,0.0210921412037,2018-07-12 00:30:22.361000,2.99627137457,-1.7031234876,0.229629009447,2.45444149534,14.7964524984,0.0214404384988,14.7336396564,-1.36176698458,-17.5747445151,37.2400716633,845.74493504,2018-07-11 20:11:08,2018-07-11 21:11:53,850N,850,2018-07-13 00:00:00,
10692--COSMOS 991,20508--NADEZHDA 2,0.0283265277778,2018-07-12 00:40:47.412000,4.30627741131,-3.96975566463,-0.247133189236,-1.65045154218,14.5403352681,0.00294447481004,14.3790171217,-2.15990917643,-34.6645647672,108.919586434,993.674255053,2018-07-11 13:58:14,2018-07-11 06:17:53,975,975,2018-07-13 00:00:00,
14974--SL-8 R/B,16727--COSMOS 1745,0.0336251041667,2018-07-12 00:48:25.209000,1.97346129613,-1.1867814292,-0.714035379097,-1.40579258927,13.1093199866,-0.00877100110535,11.6923709815,-5.92812402131,-74.3046913503,116.285270976,1005.30361241,2018-07-11 13:52:17,2018-07-11 20:08:55,975,975,2018-07-13 00:00:00,
16735--METEOR 2-14,13113--METEOR 2-8,0.0438891782407,2018-07-12 01:03:12.025000,1.72261587482,-0.872909624898,-0.211670392877,1.46990812085,14.5972121047,-0.0349205896645,14.4511964872,2.05919932799,-23.1987772547,124.217624288,954.812827088,2018-07-11 20:11:34,2018-07-11 05:17:08,975N,LEO,2018-07-13 00:00:00,
7737--SL-8 R/B,14680--SL-8 R/B,0.0584961921296,2018-07-12 01:24:14.071000,4.67933072036,-3.89092926552,2.2920237801,-1.22614535547,6.86832381613,-0.035471497672,3.19294313617,6.08093150309,82.1048850492,-81.0857142782,966.453734167,2018-07-11 21:38:48,2018-07-11 21:40:31,975,975,2018-07-13 00:00:00,
25893--SL-8 R/B,14679--COSMOS 1535,0.0891661805556,2018-07-12 02:08:23.958000,1.88762162733,-1.64271648632,0.863403119527,-0.345156495981,5.30722144725,-0.0298733522347,1.92118129806,4.94719814572,-82.4635398348,63.3417452445,1026.52305574,2018-07-11 21:33:30,2018-07-11 09:41:41,975,975,2018-07-13 00:00:00,
14057--COSMOS 1459,18129--COSMOS 1861,0.0928583449074,2018-07-12 02:13:42.961000,3.3560426495,2.1823001871,-0.844565821713,-2.40568009749,13.9098886391,0.0491790554898,13.1387607679,-4.56678758609,68.1679622935,1.57283500897,993.555548564,2018-07-11 22:12:23,2018-07-11 10:28:38,975,975,2018-07-13 00:00:00,
7095--SL-8 R/B,16510--COSMOS 1727,0.106920150463,2018-07-12 02:33:57.901000,1.11229274505,0.3847160163,0.289892010703,1.00257237126,14.0973172534,0.0517165187718,13.5362807803,-3.9371032221,-64.0479439115,-27.5509459728,1011.04784694,2018-07-11 04:29:01,2018-07-11 11:29:03,975,975,2018-07-13 00:00:00,
8591--COSMOS 789,26818--COSMOS 2378,0.107690162037,2018-07-12 02:35:04.430000,1.94609419295,-1.38320421808,-1.30693722582,-0.407361984824,4.2068249547,0.0477271267168,1.20572989686,-4.03005133177,82.6802106186,-46.4019047959,1003.02820584,2018-07-11 22:43:41,2018-07-11 19:09:52,975,975,2018-07-13 00:00:00,
16735--METEOR 2-14,13113--METEOR 2-8,0.116114895833,2018-07-12 02:47:12.327000,2.1599211604,-0.963808219891,-0.274912663289,1.91331026286,14.5971937092,-0.0348488476929,14.4511802016,2.05918443142,-23.2110656521,98.0857304343,954.778426775,2018-07-11 20:11:34,2018-07-11 05:17:08,975N,LEO,2018-07-13 00:00:00,
23466--SL-8 R/B,22888--COSMOS 2266,0.122710868056,2018-07-12 02:56:42.219000,3.5054665536,3.45900758391,0.423953972273,0.379243091233,10.194127964,-0.0578728459319,7.05902164722,-7.35439386107,80.2340800609,136.409309737,999.058869744,2018-07-11 22:01:27,2018-07-11 06:13:01,975,975,2018-07-13 00:00:00,
13649--SL-8 R/B,23432--SL-8 R/B,0.130647858796,2018-07-12 03:08:07.975000,1.68255326323,-1.49095832317,0.656249215206,0.421148108972,8.05896164075,0.00223067924261,4.35839524219,-6.7787350342,-70.9816759613,-87.7489757446,806.690165247,2018-07-11 23:05:48,2018-07-11 11:04:07,775,775,2018-07-13 00:00:00,
9062--SL-8 R/B,13113--METEOR 2-8,0.132661851852,2018-07-12 03:11:01.984000,3.48688676116,-2.85427303311,-0.859157625935,-1.80924097662,13.2793920118,0.0177485614414,11.9848490544,-5.71885743258,-73.008764427,-116.379206483,982.958393343,2018-07-11 22:59:34,2018-07-11 05:17:08,975,LEO,2018-07-13 00:00:00,
13992--SL-8 R/B,14402--SL-8 R/B,0.141017673611,2018-07-12 03:23:03.927000,2.52122932585,2.37219020777,-0.509281166589,-0.685524343149,12.0230756156,0.0199566471737,9.68631855288,-7.12244212913,-62.4785204742,-115.77439671,790.806286348,2018-07-11 22:53:36,2018-07-11 11:26:05,775,775,2018-07-13 00:00:00,
37932--CZ-2D R/B,24298--SL-16 R/B,0.145121273148,2018-07-12 03:28:58.478000,3.19299998741,2.8074705886,0.156126448713,1.51293831526,14.7723516078,-0.00957422113107,14.6963032055,-1.49698111269,-23.7870689132,-30.8616883373,850.525279459,2018-07-11 11:50:38,2018-07-11 10:36:15,LEO,850,2018-07-13 00:00:00,
11327--SL-8 R/B,11667--COSMOS 1150,0.14682212963,2018-07-12 03:31:25.432000,1.9204024206,-0.838556489812,0.502186738982,1.65305080068,14.123646962,-0.00416807796012,13.5135448352,-4.10627472541,65.1159398539,-171.914382118,973.00116091,2018-07-11 13:10:41,2018-07-12 00:02:23,975,975,2018-07-13 00:00:00,
7476--COSMOS 689,13065--COSMOS 1339,0.158980891204,2018-07-12 03:48:55.949000,4.14931903926,-0.541810512358,-0.668029086931,4.0591904362,14.5032580583,0.0463093226434,14.3098715079,2.36006931675,-41.0783101537,159.454294072,1001.46541632,2018-07-12 00:51:50,2018-07-11 11:01:39,975,975,2018-07-13 00:00:00,
12443--SL-8 R/B,9443--COSMOS 858,0.16637869213,2018-07-12 03:59:35.119000,4.6876129249,4.6178392103,0.473009804645,-0.652332496642,12.111587203,-0.00427583015637,9.81994978698,7.08936615465,62.1237991235,-143.988057595,788.376413951,2018-07-12 02:00:35,2018-07-12 03:27:58,775,775,2018-07-13 00:00:00,
9848--SL-8 R/B,20578--SL-8 R/B,0.167957673611,2018-07-12 04:01:51.543000,3.04638104198,-1.9515734137,2.32543070796,-0.253319336673,1.65539538834,0.0125424657464,0.189700315324,1.64444226674,-82.9359748945,-16.2786001638,999.141520511,2018-07-12 03:15:57,2018-07-11 19:58:30,975,975,2018-07-13 00:00:00,
16369--SL-8 R/B,27535--SL-8 R/B,0.186140613426,2018-07-12 04:28:02.549000,3.88799053645,0.44465639773,1.9597637485,-3.32837455067,12.7194908092,-0.0521694136764,10.9635648678,6.44848588337,76.0520396845,90.8284120432,977.43842372,2018-07-11 14:16:39,2018-07-11 09:02:38,975,975,2018-07-13 00:00:00,
16735--METEOR 2-14,13113--METEOR 2-8,0.188340601852,2018-07-12 04:31:12.628000,2.60391715351,-1.05465921665,-0.337818019628,2.3566835733,14.5971753699,-0.0347764637322,14.4511639867,2.05916944608,-23.2233504502,71.9538367834,954.744015861,2018-07-11 20:11:34,2018-07-11 05:17:08,975N,LEO,2018-07-13 00:00:00,
