PrimarySatellite,SecondarySatellite,TCA_EpDay,TCA_UTCG,Range,RangeX,RangeY,RangeZ,Velocity,VelocityX,VelocityY,VelocityZ,Latitude,Longitude,Altitude,PrimaryAge,SecondaryAge,PrimaryCluster,SecondaryCluster,DateGenerated
4419--METEOR 1-5,31123--SL-24 R/B,0.00477453703704,2018-06-08 00:06:52.520000,3.02806968163,-2.18169580084,2.09850356458,-0.0754467946523,2.27502479811,0.253413264616,0.343786066054,2.23457617684,-15.004060934,168.472522953,830.581432101,2018-06-07 16:24:47,2018-06-07 06:13:50,850N,LEO,2018-06-09 00:00:00,
4800--SL-8 R/B,10693--SL-8 R/B,0.0252962615741,2018-06-08 00:36:25.597000,4.69873083428,0.238579642431,3.66992198411,2.92452112965,9.19218613405,0.00951013583272,5.7282724983,-7.18909519103,73.6800825776,-12.3003900582,976.673089036,2018-06-07 10:13:21,2018-06-07 16:16:19,975,975,2018-06-09 00:00:00,
11321--SL-8 R/B,15292--COSMOS 1598,0.0391427430556,2018-06-08 00:56:21.933000,3.00803449583,0.322012280004,-2.62055290573,1.4412779357,7.10459191429,-0.00937572291022,3.42307962148,6.22556537749,-81.9731331665,145.937399034,994.936638582,2018-06-07 20:15:17,2018-06-07 15:23:53,975,975,2018-06-09 00:00:00,
11510--COSMOS 1125,11869--COSMOS 1190,0.039922662037,2018-06-08 00:57:29.318000,4.11179188063,0.749478777107,1.76388818121,-3.63783074324,13.4386774766,0.00278681697387,12.0919761678,5.86363001141,51.1283655167,-115.877998197,785.844539004,2018-06-07 23:01:57,2018-06-07 22:41:47,775,775,2018-06-09 00:00:00,
13950--SL-8 R/B,15099--METEOR 2-11,0.0431014351852,2018-06-08 01:02:03.964000,4.56594995475,4.43078417554,0.325798119222,-1.05352084202,14.0897205509,-0.022837013857,13.4864101541,4.07877982101,-64.2538023467,140.048981953,985.138054566,2018-06-07 06:09:47,2018-06-07 15:11:09,975,975N,2018-06-09 00:00:00,
7349--COSMOS 663,7736--COSMOS 726,0.0672701157407,2018-06-08 01:36:52.138000,2.44465504907,2.40898455982,0.393056496376,0.136522123326,5.35210723962,-0.0347489456669,1.94539380364,-4.98590888043,82.4933998298,16.4380520571,984.460537533,2018-06-06 13:14:40,2018-06-07 14:44:24,975,975,2018-06-09 00:00:00,
11510--COSMOS 1125,11869--COSMOS 1190,0.10971681713,2018-06-08 02:37:59.533000,2.55202232428,0.796101245986,-1.05827261385,2.1815361158,13.4387025734,0.0057133368007,12.0919907371,5.86365536398,51.0750306477,-141.241326568,785.845007922,2018-06-07 23:01:57,2018-06-07 22:41:47,775,775,2018-06-09 00:00:00,
5731--METEOR 1-10,22802--COSMOS 2263,0.136082025463,2018-06-08 03:15:57.487000,4.74991016897,3.89743031127,-2.33298874176,1.3888294038,7.57202356958,-0.0179636253045,3.85101317972,6.51957941404,71.0079063762,76.7198126319,850.416032307,2018-06-07 21:49:06,2018-06-07 23:26:51,850N,850,2018-06-09 00:00:00,
10918--SL-8 R/B,32052--COSMOS 2429,0.136111423611,2018-06-08 03:16:00.027000,4.90568511544,2.40733152155,1.43759628319,-4.02539666664,13.8195129137,-0.0373063576453,13.0213344175,4.62843336288,-68.5448101451,98.3202725327,1021.06516958,2018-06-07 17:17:05,2018-06-07 13:50:03,975,975,2018-06-09 00:00:00,
6149--SL-8 R/B,16368--COSMOS 1709,0.142952581019,2018-06-08 03:25:51.103000,3.61194517419,-0.0922846490367,0.449880307886,3.58263020607,14.6414825136,0.0254926201008,14.5275568822,-1.82275927045,9.72548149042,175.178829515,959.76433964,2018-06-07 19:39:56,2018-06-07 22:23:48,975,975,2018-06-09 00:00:00,
9061--COSMOS 846,24677--COSMOS 2336,0.183899699074,2018-06-08 04:24:48.934000,1.83958906339,1.20461768831,0.664002661654,-1.22150915366,12.8818960669,-0.0213924873055,11.3275385779,6.13430178632,-75.0901860889,90.5294287759,1034.79257375,2018-06-07 18:27:39,2018-06-07 13:53:58,975,975,2018-06-09 00:00:00,
7350--SL-8 R/B,23179--NADEZHDA 4,0.185282789352,2018-06-08 04:26:48.433000,3.4333726778,3.43013418969,0.096869767979,0.113329755361,10.7937977301,0.0171653245498,7.92904110783,-7.32366587856,-79.6218164226,37.6563941645,1009.38898428,2018-06-08 01:45:23,2018-06-07 16:44:36,975,975,2018-06-09 00:00:00,
21153--SL-8 R/B,22308--SL-8 R/B,0.200697268519,2018-06-08 04:49:00.244000,4.47797898472,0.737560844296,-4.23066441443,1.26877042881,4.2163682093,-0.0134606077556,1.20897939507,4.0393004977,82.6508607126,41.9538192115,1008.93799531,2018-06-07 20:24:15,2018-06-07 18:38:47,975,975,2018-06-09 00:00:00,
20528--SL-8 R/B,8591--COSMOS 789,0.219889594907,2018-06-08 05:16:38.461000,4.0408907563,1.06429476733,3.6730779175,1.30559310834,4.95315177271,-0.0100167942992,1.66140459546,-4.66619190748,82.5507609488,-65.9463946444,980.284258363,2018-06-07 17:09:49,2018-06-07 13:51:00,975,975,2018-06-09 00:00:00,
15398--COSMOS 1610,23773--COSMOS 2327,0.222413518519,2018-06-08 05:20:16.528000,4.46958500489,-3.04680551495,-3.24660696658,-0.392057999014,2.0616228017,-0.0508531966061,0.294040943419,-2.03991236392,-82.9274329594,64.4498529054,1024.07357599,2018-06-08 00:50:24,2018-06-07 23:03:47,975,975,2018-06-09 00:00:00,
9062--SL-8 R/B,24955--SL-8 R/B,0.236246898148,2018-06-08 05:40:11.732000,4.52005981916,3.61498700688,2.57141347288,0.866396249035,4.83047180717,-0.034177192893,1.58524296065,-4.5628165156,-82.5535615931,-48.1281837467,981.778670678,2018-06-08 04:55:26,2018-06-07 12:42:42,975,975,2018-06-09 00:00:00,
