PrimarySatellite,SecondarySatellite,TCA_EpDay,TCA_UTCG,Range,RangeX,RangeY,RangeZ,Velocity,VelocityX,VelocityY,VelocityZ,Latitude,Longitude,Altitude,PrimaryAge,SecondaryAge,PrimaryCluster,SecondaryCluster,DateGenerated
13128--SL-8 R/B,16511--SL-8 R/B,0.00817436342593,2019-09-12 00:11:46.265000,4.88014914951,-2.85885316608,0.490745426525,3.92453605189,14.5813222003,0.00845498364393,14.4694272606,-1.80293104991,6.3956103065,-18.68450743,994.220614826,2019-09-11 20:11:02,2019-09-11 17:44:44,975,975,2019-09-13 00:00:00,
25893--SL-8 R/B,10137--COSMOS 926,0.0182559722222,2019-09-12 00:26:17.316000,4.87293364623,0.445251571717,-2.93750035118,3.8624247624,11.7223641062,-0.00423827516674,9.33049143908,7.09617726536,78.3052164511,175.788341449,995.686226193,2019-09-11 19:08:17,2019-09-11 20:59:52,975,975,2019-09-13 00:00:00,
22208--SL-8 R/B,8419--COSMOS 778,0.0275635648148,2019-09-12 00:39:41.492000,2.78406742189,2.16405794439,0.218744811428,1.73782488487,14.6003873619,-0.0234279307657,14.4896185176,-1.79491433365,3.17804546785,-45.5453413989,989.322891145,2019-09-11 18:52:48,2019-09-11 16:39:08,975,975,2019-09-13 00:00:00,
8459--SL-8 R/B,16011--COSMOS 1680,0.0384649537037,2019-09-12 00:55:23.372000,3.22602090432,-2.60261700792,-1.25071873742,1.43850555267,11.2792852454,-0.0169520420295,8.52686682645,7.38339558733,-65.3101441624,10.0432279148,792.655619711,2019-09-11 20:14:16,2019-09-11 20:24:23,775,775,2019-09-13 00:00:00,
13128--SL-8 R/B,16511--SL-8 R/B,0.0444608101852,2019-09-12 01:04:01.414000,3.28841199671,3.28833913364,0.00411884879777,-0.0214997051215,14.6354704464,-0.00636231884487,14.5230674237,1.81037767181,-6.51858564373,148.174282147,970.029979668,2019-09-11 20:11:02,2019-09-11 17:44:44,975,975,2019-09-13 00:00:00,
5917--METEOR 1-11,17973--COSMOS 1844,0.0555596643519,2019-09-12 01:20:00.355000,4.47867846918,0.550135244529,1.07193532278,-4.31356774686,14.3865788483,-0.0325453666868,13.9630671196,3.46487350013,2.87746325503,160.213966928,869.586209064,2019-09-11 20:12:20,2019-09-11 17:42:28,850N,850,2019-09-13 00:00:00,
21667--SL-8 R/B,11735--COSMOS 1168,0.0672076967593,2019-09-12 01:36:46.745000,2.8889362094,-2.88136973266,0.0158230827612,-0.208351903637,14.5855308078,-0.0545047993279,14.4705608873,1.82691154072,10.7726600519,107.197899358,992.212416882,2019-09-11 18:49:57,2019-09-11 18:28:36,975,975,2019-09-13 00:00:00,
10744--COSMOS 996,14450--COSMOS 1506,0.0676443171296,2019-09-12 01:37:24.469000,4.88791317999,-0.388773797075,-0.698879685643,-4.82204493704,14.6276674298,0.0476909659802,14.4758072093,-2.10175775195,31.3526473526,-62.0617483175,954.252540102,2019-09-11 18:13:26,2019-09-11 17:24:10,975,975,2019-09-13 00:00:00,
17359--COSMOS 1816,5050--COSMOS 400,0.0739243865741,2019-09-12 01:46:27.067000,3.67297509279,-2.84231789623,-1.68682100356,-1.60206426556,10.127043842,-0.00854098571944,6.98138192404,-7.33602415895,65.1450525068,-155.360641055,1011.4992979,2019-09-11 20:30:44,2019-09-11 20:26:06,975,975,2019-09-13 00:00:00,
13128--SL-8 R/B,16511--SL-8 R/B,0.0809014930556,2019-09-12 01:56:29.889000,4.68692773453,-2.88083888218,0.458979460597,3.66843246883,14.5814093195,0.00850304734278,14.4695142696,-1.80293711521,6.40311576481,-44.9929415442,994.166106137,2019-09-11 20:11:02,2019-09-11 17:44:44,975,975,2019-09-13 00:00:00,
